"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1398707471259037702","Sat May 29 18:27:02 +0000 2021","0","Tinjau Banjir Bandang di Tapan Gubernur Sumbar Serahkan Bantuan https://t.co/wmFFA7IFwt https://t.co/1WjCB7tfdJ","1398707471259037702","https://pbs.twimg.com/media/E2k1CE4VUAEi8_3.jpg","","in","","0","0","0","https://twitter.com/ArioNovear/status/1398707471259037702","1272371981216739329","ArioNovear"
"1394472241656569857","Tue May 18 01:57:45 +0000 2021","0","Banjir Bandang Terjang Sumbar Ratusan Rumah Terendam-Jembatan Putus https://t.co/smUYQLAx9d","1394472241656569857","","","in","dresrossa","1","0","0","https://twitter.com/yoangpalat/status/1394472241656569857","1217005468196884480","yoangpalat"
"1394199329779290112","Mon May 17 07:53:17 +0000 2021","1","Banjir Bandang Terjang Sumbar Ratusan Rumah Terendam-Jembatan Putus https://t.co/OMNjdjcYkj","1394199329779290112","","","in","JKT-INA","0","1","0","https://twitter.com/20detik/status/1394199329779290112","598959076","20detik"
"1322175274520227852","Fri Oct 30 13:55:24 +0000 2020","0","Tanggal Bencana Banjir Ditsamapta Tingkatannya Latihan SAR di Kubu https://t.co/ZuPlHR8N8K #DivisihumasPolri #Papua #TNI #Padang #Papua #Yapen #Sumbar #Bandung #AcehBarat #Aceh #Medan #Sumut #Karawang #Jaba #Talaud #Sulut #Covid #Polda #KabupatenKotawaringinBarat #Kalteng","1322175274520227852","","","in","","0","0","0","https://twitter.com/redaksigoparle1/status/1322175274520227852","982710253262262272","redaksigoparle1"
"1316041277876523008","Tue Oct 13 15:41:06 +0000 2020","1","Bisa Picu Banjir Bandang Warga Minta Pemprov Sumbar Tidak Beri Izin Tambang Galian C di Batang Mahat https://t.co/Eo8JeLVg2x","1316041277876523008","","","in","Kota Padang, Sumatera Barat","0","0","0","https://twitter.com/padangkitacom/status/1316041277876523008","198116133","padangkitacom"
"1308778407635881984","Wed Sep 23 14:41:02 +0000 2020","0","Jalan Lintas Sumbar-Bengkulu Putus Total Diterjang Banjir Bandang https://t.co/WsoCZ6ehLQ","1308778407635881984","","","in","Jakarta Capital Region","0","0","0","https://twitter.com/asjeplak/status/1308778407635881984","3311675726","asjeplak"
"1308769477547323394","Wed Sep 23 14:05:33 +0000 2020","1","Jalan Lintas Sumbar-Bengkulu Putus Total Diterjang Banjir Bandang https://t.co/yvVVkE8DUa #DariSuara","1308769477547323394","","","in","Jakarta Capital Region","0","0","2","https://twitter.com/suaradotcom/status/1308769477547323394","2340155395","suaradotcom"
"1308338810074267649","Tue Sep 22 09:34:14 +0000 2020","0","Tim tanggap darurat @ACT @act_sumbar diterjunkan ke lokasi banjir bandang Sukabumi Jawa Barat #beritaminangcom #beritaminang @infobencana @BNPB_Indonesia #bmkg https://t.co/gFLsMvPj28","1308338810074267649","","","in","West Sumatra, Indonesia","0","0","0","https://twitter.com/beritaminangcom/status/1308338810074267649","319499439","beritaminangcom"
"1303511831797927937","Wed Sep 09 01:53:36 +0000 2020","4"," Sepanjang tahun 2019 sampai Agustus 2020 wilayah Sumbar dilanda bencana sebanyak 773 kali. Ada pohon tumbang 293 kali bencana banji dan banjir bandang 166 kejadian serta tanah longsor. Semuanya karena aspek lingkungan diabaikan @WalhiSumbar","1303511845475475459","","walhinasional","in","Indonesia","1","0","2","https://twitter.com/walhinasional/status/1303511845475475459","201309164","walhinasional"
"1281428256420331521","Fri Jul 10 03:21:18 +0000 2020","0","Berharap Bantuan Balai Sungai Wilayah V Sabodam Bangko Gadang Ditimbun Kayu-kayu Besar | Banjir bandang yang terjadi satu minggu lalu di Jorong Banuaran Nagari Kapau Alam Pauh Duo Kecamatan Pauh Duo Kabupaten Solok Selatan Sumatera Barat (Sumbar)... https://t.co/iWKW9Fra9D","1281428256420331521","","","in","ÜT: -6.349034,107.1245085","0","0","0","https://twitter.com/InfoSOLSEL/status/1281428256420331521","270776229","InfoSOLSEL"
